"method_key","mse","n_rep_used","truth","section","design","kappa","n","mse_3"
"MLE_naive",0.0602805089703527,2000,1,"k","dense",0,1000,0.06
"MLE_corrected",0.0478432389370737,2000,1,"k","dense",0,1000,0.048
"MLE_Lasso",0.0453938966424375,2000,1,"k","dense",0,1000,0.045
"MLE_naive",0.0253884464837175,2000,1,"k","dense",0,2000,0.025
"MLE_corrected",0.0224494279705177,2000,1,"k","dense",0,2000,0.022
"MLE_Lasso",0.0225073303229509,2000,1,"k","dense",0,2000,0.023
"MLE_naive",0.0124880757787372,2000,1,"k","dense",0,4000,0.012
"MLE_corrected",0.0118513463399339,2000,1,"k","dense",0,4000,0.012
"MLE_Lasso",0.0121979991834879,2000,1,"k","dense",0,4000,0.012
"MLE_naive",0.30114893134781,2000,1,"k","dense",0.1,1000,0.301
"MLE_corrected",0.054306585754457,2000,1,"k","dense",0.1,1000,0.054
"MLE_Lasso",0.0900342444616855,2000,1,"k","dense",0.1,1000,0.09
"MLE_naive",0.236303193233937,2000,1,"k","dense",0.1,2000,0.236
"MLE_corrected",0.0257244620042229,2000,1,"k","dense",0.1,2000,0.026
"MLE_Lasso",0.0631892885991726,2000,1,"k","dense",0.1,2000,0.063
"MLE_naive",0.196189725953689,2000,1,"k","dense",0.1,4000,0.196
"MLE_corrected",0.0134591433370263,2000,1,"k","dense",0.1,4000,0.013
"MLE_Lasso",0.0525180283143861,2000,1,"k","dense",0.1,4000,0.053
"MLE_naive",3.57768187854571,2000,1,"k","dense",0.2,1000,3.578
"MLE_corrected",0.069988023261673,2000,1,"k","dense",0.2,1000,0.07
"MLE_Lasso",0.159023802983808,2000,1,"k","dense",0.2,1000,0.159
"MLE_naive",2.85130191512052,2000,1,"k","dense",0.2,2000,2.851
"MLE_corrected",0.0336977780421977,2000,1,"k","dense",0.2,2000,0.034
"MLE_Lasso",0.130456231195204,2000,1,"k","dense",0.2,2000,0.13
"MLE_naive",2.52363282727263,2000,1,"k","dense",0.2,4000,2.524
"MLE_corrected",0.0163502736740922,2000,1,"k","dense",0.2,4000,0.016
"MLE_Lasso",0.112084631212265,2000,1,"k","dense",0.2,4000,0.112
"MLE_naive",0.054185148625936,2000,1,"k","sparse",0,1000,0.054
"MLE_corrected",0.0430905897716598,2000,1,"k","sparse",0,1000,0.043
"MLE_Lasso",0.0868999218729813,2000,1,"k","sparse",0,1000,0.087
"MLE_naive",0.0243220536879407,2000,1,"k","sparse",0,2000,0.024
"MLE_corrected",0.0217185298123508,2000,1,"k","sparse",0,2000,0.022
"MLE_Lasso",0.0494300404989668,2000,1,"k","sparse",0,2000,0.049
"MLE_naive",0.0113222060815263,2000,1,"k","sparse",0,4000,0.011
"MLE_corrected",0.010667914743368,2000,1,"k","sparse",0,4000,0.011
"MLE_Lasso",0.0259878243513353,2000,1,"k","sparse",0,4000,0.026
"MLE_naive",0.293999165528496,2000,1,"k","sparse",0.1,1000,0.294
"MLE_corrected",0.0547425099398441,2000,1,"k","sparse",0.1,1000,0.055
"MLE_Lasso",0.153733738410145,2000,1,"k","sparse",0.1,1000,0.154
"MLE_naive",0.207692013243656,2000,1,"k","sparse",0.1,2000,0.208
"MLE_corrected",0.0245841695017201,2000,1,"k","sparse",0.1,2000,0.025
"MLE_Lasso",0.114864785872335,2000,1,"k","sparse",0.1,2000,0.115
"MLE_naive",0.172637394084551,2000,1,"k","sparse",0.1,4000,0.173
"MLE_corrected",0.0116291969130402,2000,1,"k","sparse",0.1,4000,0.012
"MLE_Lasso",0.0795962443580315,2000,1,"k","sparse",0.1,4000,0.08
"MLE_naive",2.93539703130492,2000,1,"k","sparse",0.2,1000,2.935
"MLE_corrected",0.0673767763439199,2000,1,"k","sparse",0.2,1000,0.067
"MLE_Lasso",0.183871231248091,2000,1,"k","sparse",0.2,1000,0.184
"MLE_naive",2.36938756175093,2000,1,"k","sparse",0.2,2000,2.369
"MLE_corrected",0.030814862889603,2000,1,"k","sparse",0.2,2000,0.031
"MLE_Lasso",0.133631005054132,2000,1,"k","sparse",0.2,2000,0.134
"MLE_naive",2.10831964145424,2000,1,"k","sparse",0.2,4000,2.108
"MLE_corrected",0.0146241593917548,2000,1,"k","sparse",0.2,4000,0.015
"MLE_Lasso",0.092105150995913,2000,1,"k","sparse",0.2,4000,0.092
"MLE_naive",0.844200060827853,2000,5,"norm","dense",0,1000,0.844
"MLE_corrected",0.473084064245814,2000,5,"norm","dense",0,1000,0.473
"MLE_Lasso",0.497980363032988,2000,5,"norm","dense",0,1000,0.498
"MLE_naive",0.308015731729355,2000,5,"norm","dense",0,2000,0.308
"MLE_corrected",0.217382414509006,2000,5,"norm","dense",0,2000,0.217
"MLE_Lasso",0.235539008717338,2000,5,"norm","dense",0,2000,0.236
"MLE_naive",0.125145628941889,2000,5,"norm","dense",0,4000,0.125
"MLE_corrected",0.105886582759547,2000,5,"norm","dense",0,4000,0.106
"MLE_Lasso",0.118365853372247,2000,5,"norm","dense",0,4000,0.118
"MLE_naive",13.7823099849642,2000,5,"norm","dense",0.1,1000,13.782
"MLE_corrected",0.596169717750531,2000,5,"norm","dense",0.1,1000,0.596
"MLE_Lasso",1.67612276401549,2000,5,"norm","dense",0.1,1000,1.676
